legyrapp,average_wait
1949,0
1950,20
1952,0
1956,1
1957,0
1960,0
1962,0
1967,6
1968,0
1970,0.5
1971,0
1972,8027
1973,1
1974,0.5
1975,0.75
1976,12
1977,5
1978,1.5
1980,5
1982,4
1983,2.5
1984,6
1985,1146.5714285714287
1986,384.6111111111111
1987,1.2954545454545454
1988,329.3809523809524
1989,1.8181818181818181
1990,4.333333333333333
1991,1380.4
1992,1157.3333333333333
1993,3.3333333333333335
1994,6.5
1995,4
1996,3631.6666666666665
1997,2760.8
1998,987.1428571428571
1999,8
2000,5926
2001,1970.142857142857
2002,3446.75
2003,1722.25
2004,2295.6666666666665
2005,1966.857142857143
2006,2295.3333333333335
2007,3441
2009,2293.6666666666665
2010,6878
2011,4.666666666666667
2012,3438
2013,3438
2014,1719
2015,6502.666666666667
2017,2
9999,-8009.772727272727
